application_date,permit_status,permit_type,event_category,event_sub_category,name_of_event,year_month_app,event_start_date,event_end_date,event_location_park,event_location_neighborhood,council_district,precinct,organization,attendance
08/17/2016 12:00:00 AM,Complete,Special Event,Community,,Tag and Table,S16SE439,09/18/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Capitol Hill,3,East,Les Dames D'Escoffier Seattle Chapter,220.0
08/17/2016 12:00:00 AM,Complete,Special Event,Community,,Leschi 5th Annual Community Festival,S16SE440,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,Leschi,3;4,West,Leschi Business Association/ Leschi Community Council,330.0
08/18/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Mustache Dache,S16NO441,11/06/2016 12:00:00 AM,11/06/2016 12:00:00 AM,Magnuson Park,Sand Point,4,North,Fizz Events LLC,1425.0
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (12.24),S16DE324,12/24/2016 12:00:00 AM,12/24/2016 12:00:00 AM,,Sodo,2,South,CBS Seattle,770.0
05/31/2016 12:00:00 AM,Complete,Charter Vessel,,,Sternwheeler Charters - Christine W,CV16JY325,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Stenwheeler Charters LLC,49.0
05/31/2016 12:00:00 AM,Complete,Charter Vessel,,,Anchor Bay Charters - Seeker,CV16JY326,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Anchor Bay Charters,30.0
05/31/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Tracing our Steps,S16JU327,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Beacon Hill,2,South,Chinese Baptist Church,175.0
06/01/2016 12:00:00 AM,Complete,Charter Vessel,,,Waterways Cruises-Emerald Star,CV16JY328,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Waterways Cruises,100.0
06/01/2016 12:00:00 AM,Complete,Charter Vessel,,,Waterways Cruises-Olympic Star,CV16JY329,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Waterways Cruises,90.0
06/01/2016 12:00:00 AM,Complete,Charter Vessel,,,Waterways Cruises-West Star,CV16JY330,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Waterways Cruises,70.0
06/01/2016 12:00:00 AM,Complete,Charter Vessel,,,Waterways Cruises-Destiny,CV16JY331,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Waterways Cruises,20.0
06/01/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet-Seattle Aquarium SPLASH,S16JU332,06/04/2016 12:00:00 AM,06/04/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,200.0
06/02/2016 12:00:00 AM,Complete,Special Event,Community,,Celebrate Little Saigon,S16AU333,08/28/2016 12:00:00 AM,08/28/2016 12:00:00 AM,,International District,2,West,Friends of Little Saigon,330.0
05/12/2016 12:00:00 AM,Complete,Special Event,Commercial,,HTC Home Run Derby with Robinson Cano of the Seattle Mariners,S16JY295,07/15/2016 12:00:00 AM,07/15/2016 12:00:00 AM,,Pioneer Square,7,South,HTC,110.0
05/13/2016 12:00:00 AM,Complete,Special Event,Community,,Pista sa Nayon,S16JY296,07/31/2016 12:00:00 AM,07/31/2016 12:00:00 AM,,Seward Park,2,South,Pista sa Nayon,10000.0
05/17/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Fisher Plaza - Sports Restaurant and Bar,S16MY297,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,Queen Anne,7,West,Butler Valet,150.0
05/17/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Lard Butt 1K,S16JU298,06/11/2016 12:00:00 AM,06/11/2016 12:00:00 AM,Magnuson Park,Sand Point,4,North,"Pro-Motion Events, Inc.",1250.0
05/18/2016 12:00:00 AM,Complete,Special Event,Community,,St. James Cathedral Parish Picnic,S16JY299,07/24/2016 12:00:00 AM,07/24/2016 12:00:00 AM,,First Hill,3,East,St. James Cathedral,520.0
04/29/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Protest Patty Murray,S16MY274,05/20/2016 12:00:00 AM,05/20/2016 12:00:00 AM,,Downtown,7,West,Kelley Whitty-Sandaker,105.0
04/29/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - BEC Luncheon at Cinerama,S16MY275,05/05/2016 12:00:00 AM,05/05/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,25.0
04/29/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Fiestas Patrias 2016,S16SE276,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,South Park,1,Southwest,Sea Mar Community Health Centers,500.0
05/02/2016 12:00:00 AM,Complete,Special Event,Commercial,,Café Campagne's Bastille Day Celebration,S16JY277,07/14/2016 12:00:00 AM,07/14/2016 12:00:00 AM,,Downtown,7,West,Café Campagne,325.0
05/04/2016 12:00:00 AM,Complete,Special Event,Commercial,,Controlled Release Society - (private party),S16JY278,07/19/2016 12:00:00 AM,07/19/2016 12:00:00 AM,,Downtown,7,West,Controlled Release Society,1000.0
05/04/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,2016 Puget Sound Heart and Stroke Walk,S16OC279,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,,Queen Anne,7,West,American Heart Association,6200.0
05/06/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Democracy Spring Across America!,S16MY287,05/14/2016 12:00:00 AM,05/14/2016 12:00:00 AM,,Pioneer Square,7,South,Democracy Spring Across America,110.0
05/06/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (7.05),S16JY288,07/05/2016 12:00:00 AM,07/05/2016 12:00:00 AM,,Pioneer Square,7,South,Sounders FC March to the Match,705.0
05/09/2016 12:00:00 AM,Complete,Special Event,Commercial,,O'Dea High School Spirit Day,S16MY289,05/20/2016 12:00:00 AM,05/20/2016 12:00:00 AM,,First Hill,3,East,O'Dea High School,475.0
05/11/2016 12:00:00 AM,Complete,Valet Parking,,,Luxe Valet Inc - Mariner's Game,S16MY290,05/27/2016 12:00:00 AM,05/27/2016 12:00:00 AM,,Sodo,2,South,Luxe Valet Inc,20.0
05/11/2016 12:00:00 AM,Cancelled,Special Event,Athletic,Run/Walk,10936.1 Yard Dash,S16OC291,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,Lake Union Park,Westlake,3;4;7,West,Flow Fitness,600.0
05/18/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet - Fremont Foundry (5.23),S16MY300,05/23/2016 12:00:00 AM,05/23/2016 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,100.0
05/20/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Furry 5K Fun Run and Walk,S16JU301,06/12/2016 12:00:00 AM,06/12/2016 12:00:00 AM,Seward Park,Seward Park,2,South,City of Seattle/Animal Shelter,2600.0
05/20/2016 12:00:00 AM,Complete,Special Event,Community,,Sustainable Ballard Festival,S16AU302,08/27/2016 12:00:00 AM,08/27/2016 12:00:00 AM,Ballard Commons Park,Ballard,6,North,Sustainable Ballard,4100.0
05/16/2016 12:00:00 AM,Complete,Special Event,Community,,West Seattle Summer Fest,S16JY303,07/08/2016 12:00:00 AM,07/10/2016 12:00:00 AM,,West Seattle,1,West,West Seattle Junction Association,24100.0
05/20/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Tailgate Country Cares,S16JY304,07/23/2016 12:00:00 AM,07/23/2016 12:00:00 AM,,Sodo,2,South,CBS,770.0
07/21/2016 12:00:00 AM,Complete,Special Event,Community,,Belltown Crush Block Party,S16AU404,08/28/2016 12:00:00 AM,08/28/2016 12:00:00 AM,,Belltown,7,West,Plymouth Housing Group,425.0
07/22/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Seattle Row for the Cure,S16SE405,09/18/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,South Lake Union,3;4;6;7,West,George Pocock Rowing Foundation,1000.0
07/25/2016 12:00:00 AM,Complete,Special Event,Community,,Fuel Outdoor Beer Garden (8.21),S16AU406,08/21/2016 12:00:00 AM,08/21/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420.0
07/25/2016 12:00:00 AM,Complete,Special Event,Community,,Fuel Outdoor Beer Garden (9.11),S16SE407,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420.0
09/21/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Agros - Fremont Studios,S16SE473,09/23/2016 12:00:00 AM,09/23/2016 12:00:00 AM,,Fremont,6,North,Butler Valet,150.0
09/21/2016 12:00:00 AM,Complete,Valet Parking,,,Butlet Valet - World Concern - Fremont Studios,S16SE474,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Fremont,6,North,Butler Valet,225.0
09/22/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Grand Protest of Ethiopians in Seattle,S16OC475,10/11/2016 12:00:00 AM,10/11/2016 12:00:00 AM,,Belltown,7,West,Ethiopians Public Forum in Seattle,100.0
09/22/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Westward Boat Cruises,S16OC476,10/07/2016 12:00:00 AM,10/07/2016 12:00:00 AM,,South Lake Union,3,West,Red Carpet Valet,60.0
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Plaza Roberto Maestas Grand Opening Ceremony,S16OC477,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Beacon Hill,2,South,El Centro de La Raza,1250.0
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Book Signing,S16OC478,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Capitol Hill,3,East,Elliott Bay Book Co,1530.0
07/20/2016 12:00:00 AM,Complete,Special Event,Community,,HRS Back to School BBQ,S16SE403,09/09/2016 12:00:00 AM,09/09/2016 12:00:00 AM,,Beacon Hill,3,South,Hamlin Robinson School,500.0
07/25/2016 12:00:00 AM,Complete,Special Event,Community,,Fuel Outdoor Beer Garden (9.25),S16SE408,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420.0
07/26/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Susan G. Komen Seattle 3-Day,S16SE409,09/16/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Lower Queen Anne,2;3;4;7,West,"The Susan G Komen Breast Cancer Foundation, Inc",1550.0
07/26/2016 12:00:00 AM,Complete,Special Event,Community,,SODO Flea,S16SE410,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,Sodo,2,West,Rejuvenation,700.0
07/27/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Menorah Lighting Celebration,S16DE411,12/25/2016 12:00:00 AM,12/25/2016 12:00:00 AM,,Queen Anne,7,West,Chabad of Queen Anne,
07/18/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Great Kilted Run,S16AU396,08/28/2016 12:00:00 AM,08/28/2016 12:00:00 AM,Magnuson Park,Sand Point,4,North,"Pro-Motion Events, Inc.",400.0
07/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Fare Start,S16JY397,07/30/2016 12:00:00 AM,07/30/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,100.0
07/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Studios Boathouse (8.6),S16AU398,08/06/2016 12:00:00 AM,08/06/2016 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,80.0
07/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Miller Nash Graham and Dunn,S16AU399,08/11/2016 12:00:00 AM,08/11/2016 12:00:00 AM,,Belltown,7,West,Red Carpet Valet,200.0
07/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet- Mortons Celebrity Steakout,S16AU400,08/23/2016 12:00:00 AM,08/23/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,100.0
07/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - UW Medicine Advancement,S16SE401,09/15/2016 12:00:00 AM,09/16/2016 12:00:00 AM,,South Lake Union,7,West,Red Carpet Valet,85.0
07/20/2016 12:00:00 AM,Cancelled,Special Event,Athletic,Cycling,Ride Around the Sound,S16SE402,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Downtown,7,West,American Lung Association of the Mountain Pacific,265.0
07/27/2016 12:00:00 AM,Complete,Special Event,Community,,Corson Building Wedding (8.20),S16AU412,08/20/2016 12:00:00 AM,08/20/2016 12:00:00 AM,,Georgetown,2,South,The Corson Building,68.0
08/02/2016 12:00:00 AM,Cancelled,Special Event,Community,,SCC 50th Anniversary Celebration,S16SE418,09/22/2016 12:00:00 AM,09/22/2016 12:00:00 AM,,Capitol Hill,3,East,Seattle Central College,500.0
08/02/2016 12:00:00 AM,Complete,Special Event,Community,,Greek Community Block Party,S16OC419,10/05/2016 12:00:00 AM,10/05/2016 12:00:00 AM,,University District,4,North,Interfraternity Council and Panhellenic Council at the University of Washington,900.0
08/03/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Gen Next,S16AU420,08/11/2016 12:00:00 AM,08/11/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,20.0
08/03/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Carpenters 4 Carpenters Rally and March to Trust Office,S16AU421,08/04/2016 12:00:00 AM,08/04/2016 12:00:00 AM,,Belltown,7,West,Carpenters 4 Carpenters,250.0
08/02/2016 12:00:00 AM,Complete,Special Event,Community,,C-ID Night Market,S16SE422,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,International District,2,West,Chinatown International District Business Improvement Area,7600.0
08/03/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Magnolia Run the Bluff,S16OC423,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,,Magnolia,7,West,"Pro-Motion Events, Inc",900.0
08/03/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Green Lake Gobble 10K & 5K Run and Walk,S16NO424,11/20/2016 12:00:00 AM,11/20/2016 12:00:00 AM,,Green Lake,6,North,"Pro-Motion Events, Inc",1750.0
04/08/2016 12:00:00 AM,Complete,Special Event,Community,,Umoja Fest Africatown Heritage Festival Parade March,S16AU237,08/06/2016 12:00:00 AM,08/06/2016 12:00:00 AM,,Central District,3,East,Umoja Fest,975.0
04/08/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Fight Back Islamophobia & Dump Trump,S16AP238,04/09/2016 12:00:00 AM,04/09/2016 12:00:00 AM,,Downtown,7,West,Americans for Refugees and Immigrants,220.0
04/08/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Estelle Thyer,S16AP239,04/14/2016 12:00:00 AM,04/14/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,25.0
04/08/2016 12:00:00 AM,Complete,Special Event,Community,,Ballard SeafoodFest 2016,S16JY240,07/09/2016 12:00:00 AM,07/10/2016 12:00:00 AM,,Ballard,6,North,The Ballard Chamber of Commerce,49970.0
04/08/2016 12:00:00 AM,Complete,Special Event,Community,,Group Hug for the Admiral Theater,S16JU241,06/03/2016 12:00:00 AM,06/03/2016 12:00:00 AM,,West Seattle,1,Southwest,Southwest Seattle Historical Society,800.0
04/11/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Summer Parkways - Ballard,S16AU242,08/27/2016 12:00:00 AM,08/27/2016 12:00:00 AM,,Ballard,6,North,Seattle Department of Transportation,3150.0
04/11/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Summer Parkways - Rainier Valley,S16AU243,08/13/2016 12:00:00 AM,08/13/2016 12:00:00 AM,,Rainier Valley,2,South,Seattle Department of Transportation,3150.0
04/11/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Summer Parkways - West Seattle,S16SE244,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,West Seattle,1,West,Seattle Department of Transportation,3070.0
04/12/2016 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Verity Credit Union Classic p/b Ascent Cycles (Ballard Criterium),S16JU245,06/04/2016 12:00:00 AM,06/04/2016 12:00:00 AM,,Ballard,6,North,Apex Racing,600.0
04/11/2016 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Georgetown Criterium,S16JY246,07/17/2016 12:00:00 AM,07/17/2016 12:00:00 AM,,Georgetown,2,South,Stranamanti Cycling,500.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (8.2),S16AU310,08/02/2016 12:00:00 AM,08/02/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (8.9),S16AU311,08/09/2016 12:00:00 AM,08/09/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (8.16),S16AU312,08/16/2016 12:00:00 AM,08/16/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (8.23),S16AU313,08/23/2016 12:00:00 AM,08/23/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (8.30),S16AU314,08/30/2016 12:00:00 AM,08/30/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/25/2016 12:00:00 AM,Complete,Special Event,Commercial,,Redfest,S16JU315,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Georgetown,2,South,Elysian Brewing,999.0
05/27/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Lark Restaurant,S16JU316,06/16/2016 12:00:00 AM,06/16/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,15.0
05/27/2016 12:00:00 AM,Complete,Special Event,Commercial,,Seafair Indian Pow Wow,S16JY317,07/15/2016 12:00:00 AM,07/17/2016 12:00:00 AM,,Magnolia,1,South,United Indians of All Tribes Foundation,7150.0
05/31/2016 12:00:00 AM,Complete,Special Event,Community,,14/48:  Outdoors,S16AU318,08/24/2016 12:00:00 AM,08/28/2016 12:00:00 AM,,Ballard,6,North,The 14/48 Projects,802.0
06/03/2016 12:00:00 AM,Complete,Special Event,Community,,Bastille Dinner 2016,S16JY334,07/14/2016 12:00:00 AM,07/14/2016 12:00:00 AM,,Central District,3,East,"Luc Bistro, Madison Valley Merchants Association",90.0
06/03/2016 12:00:00 AM,Complete,Special Event,Commercial,,Bumbershoot Festival [Street Use],S16SE335,08/26/2016 12:00:00 AM,09/08/2016 12:00:00 AM,,Queen Anne,7,West,"AEG Live NW, LLC",105600.0
05/11/2016 12:00:00 AM,Complete,Special Event,Commercial,,Postback,S16JY292,07/22/2016 12:00:00 AM,07/22/2016 12:00:00 AM,,South Lake Union,4,West,TUNE,650.0
05/11/2016 12:00:00 AM,Complete,Special Event,Community,,GPK,S16AU293,08/06/2016 12:00:00 AM,08/06/2016 12:00:00 AM,,Georgetown,2,South,GPK,4150.0
05/12/2016 12:00:00 AM,Complete,Special Event,Community,,PrideFest Capitol Hill,S16JU294,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Capitol Hill,3,East,PrideFest,5030.0
06/06/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Seattle U / Matteo Ricci College Rally to Support Dean Kelly,S16JU336,06/09/2016 12:00:00 AM,06/09/2016 12:00:00 AM,,Capitol Hill,3,East,Alumni of Seattle University,50.0
06/07/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Design Festival Block Party,S16SE337,09/10/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Pioneer Square,7,West,Design in Public (Pacific Northwest Center for Architecture and Design),2000.0
06/07/2016 12:00:00 AM,Complete,Special Event,Community,,Chinatown Seafair Parade,S16JY338,07/24/2016 12:00:00 AM,07/24/2016 12:00:00 AM,,International District,2,West,The Greater Seattle Chinese Chamber of Commerce,9500.0
06/07/2016 12:00:00 AM,Complete,Special Event,Community,,Bite of Broadview,S16SE339,09/23/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Broadview,5,North,Christ the King Catholic Church,2090.0
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Sodo Flea (10.8),S16OC479,10/08/2016 12:00:00 AM,10/08/2016 12:00:00 AM,,Sodo,2,West,Rejuvenation,2030.0
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Sodo Flea (11.12),S16NO480,11/12/2016 12:00:00 AM,11/12/2016 12:00:00 AM,,Sodo,2,West,Rejuvenation,2030.0
09/22/2016 12:00:00 AM,Cancelled,Special Event,Community,,Sodo Flea (12.10),S16DE481,12/10/2016 12:00:00 AM,12/10/2016 12:00:00 AM,,Sodo,2,West,Rejuvenation,2030.0
09/28/2016 12:00:00 AM,Complete,Special Event,Community,,Benefit for NW Harvest/ Don Steven's Birthday and Celebration of Life,S16OC482,10/04/2016 12:00:00 AM,10/04/2016 12:00:00 AM,,Capitol Hill,3,East,Bill's off Broadway Restaurant,315.0
09/27/2016 12:00:00 AM,Complete,Special Event,Community,,USC Trojan Marching Band Pep Rally,S16NO483,11/11/2016 12:00:00 AM,11/11/2016 12:00:00 AM,,South Lake Union,3,West,Lake Union Park,180.0
08/03/2016 12:00:00 AM,Complete,Special Event,Community,,Double Tenth Flag Raising and Parade,S16OC425,10/09/2016 12:00:00 AM,10/09/2016 12:00:00 AM,,International District,2,West,Taiwanese Chamber of Commerce of Seattle,350.0
08/03/2016 12:00:00 AM,Complete,Special Event,Community,,Boogie Nights,S16OC426,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,,Green Lake,6,North,"Pro-Motion Events, Inc",340.0
08/05/2016 12:00:00 AM,Complete,Special Event,Community,,Emerald City Pet Rescue Second Annual Anniversary Event,S16AU427,08/27/2016 12:00:00 AM,08/27/2016 12:00:00 AM,,Sodo,2,West,Emerald City Pet Rescue,300.0
08/05/2016 12:00:00 AM,Complete,Special Event,Community,,S Spencer Street International Block Party,S16SE428,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,Beacon Hill,2,South,So Spencer Street Steering Committee,320.0
08/08/2016 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees Concert,S16SE429,09/30/2016 12:00:00 AM,09/30/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,198.0
06/13/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Trans Pride Seattle 2016,S16JU340,06/24/2016 12:00:00 AM,06/24/2016 12:00:00 AM,,Capitol Hill,3,East,Gender Justice League,950.0
06/13/2016 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Sightseer,CV16JY341,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,250.0
06/13/2016 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Champagne Lady,CV16JY342,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,149.0
06/13/2016 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Lady Mary,CV16JY343,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,298.0
06/13/2016 12:00:00 AM,Complete,Charter Vessel,,,Argosy Cruises - Celebrations,CV16JY344,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,149.0
06/13/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,Rave Foundation Beer Garden at The NINETY,S16JY345,07/31/2016 12:00:00 AM,07/31/2016 12:00:00 AM,,Pioneer Square,2,West,Rave Foundation,85.0
06/13/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,Rave Foundation Beer Garden at the NINETY,S16AU346,08/14/2016 12:00:00 AM,08/14/2016 12:00:00 AM,,Pioneer Square,2,West,Rave Foundation,85.0
06/13/2016 12:00:00 AM,Complete,Special Event,Commercial,,Rave Foundation Beer Garden at the NINETY,S16AU347,08/21/2016 12:00:00 AM,08/21/2016 12:00:00 AM,,Pioneer Square,2,West,Rave Foundation,85.0
06/13/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Prayer & Procession for Orlando Victims,S16JU348,06/15/2016 12:00:00 AM,06/15/2016 12:00:00 AM,,Capitol Hill,3,East,St. James Cathedral,1000.0
06/16/2016 12:00:00 AM,Complete,Special Event,Community,,American Outlaws March to the Match,S16JU349,06/16/2016 12:00:00 AM,06/16/2016 12:00:00 AM,,Pioneer Square,3,West,American Outlaws Tacoma,705.0
06/15/2016 12:00:00 AM,Complete,Special Event,Community,,St. Benedict Wallingford Wurst Festival,S16SE350,09/16/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Wallingford,4,North,St. Benedict Parish & School,4800.0
08/08/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Smith Tower,S16AU430,08/23/2016 12:00:00 AM,08/24/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,70.0
06/16/2016 12:00:00 AM,In Process,Special Event,Commercial,,These Are The Drones You're Looking For,S16JY351,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,Magnuson Park,Sand Point,4,North,"UIEvolution, Inc",125.0
06/17/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,Trucktoberfest,S16OC352,10/01/2016 12:00:00 AM,10/02/2016 12:00:00 AM,,South Lake Union,7,West,Piranha Blonde Interactive,20040.0
06/16/2016 12:00:00 AM,Complete,Special Event,Community,,Lake City Pioneer Days Parade,S16AU353,08/06/2016 12:00:00 AM,08/06/2016 12:00:00 AM,,Lake City,5,North,North Seattle Chamber of Commerce Parade Committee,4600.0
06/19/2016 12:00:00 AM,Complete,Special Event,Community,,Tabernacle Missionary Baptist Church Community BBQ,S16AU354,08/27/2016 12:00:00 AM,08/27/2016 12:00:00 AM,,Leschi,2,West,Tabernacle Missionary Baptist Church,350.0
06/20/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - 206 Inc,S16JY355,07/07/2016 12:00:00 AM,07/07/2016 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,130.0
06/11/2016 12:00:00 AM,Complete,Valet Parking,,,LAZ Parking - Thompson Hotel Grand Opening,S16JU356,06/28/2016 12:00:00 AM,06/28/2016 12:00:00 AM,,Downtown,7,West,LAZ Parking,300.0
06/21/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Debre Genet Kidisti Sellassie Eritrean Orthodox Church,S16JY357,07/16/2016 12:00:00 AM,07/16/2016 12:00:00 AM,,Central District,3,East,Debre Genet Kidisti Sellassie  Eritrean Orthodox Church,200.0
06/10/2016 12:00:00 AM,Complete,Special Event,Community,,Greenwood Blasts Off Community Summer Concert,S16AU358,08/28/2016 12:00:00 AM,08/28/2016 12:00:00 AM,,Greenwood,6,North,School of Rock,840.0
06/20/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Trot to Yacht,S16SE359,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,South Lake Union,3,West,Flying Unicorn Racing,600.0
06/21/2016 12:00:00 AM,In Process,Special Event,Community,,Magnuson Series Beer Garden,S16AU360,08/13/2016 12:00:00 AM,08/13/2016 12:00:00 AM,,Sand Point,4,North,Magnuson Series,60.0
